id,name,english,source,rarity
0,无,None,mhxx-save-format-community,0
1,橡子猫头盔,F Acorn Helm,mhxx-dex-1.0+mhxx-save-format-community,1
2,贝鲁纳猫兜帽,F Bherna Hood,mhxx-dex-1.0+mhxx-save-format-community,1
3,合金猫头盔,F Alloy Helm,mhxx-dex-1.0+mhxx-save-format-community,1
4,骨制猫头盔,F Bone Helm,mhxx-dex-1.0+mhxx-save-format-community,1
5,狗龙猫头盔,F Jaggi Helm,mhxx-dex-1.0+mhxx-save-format-community,1
6,狩猎猫头盔,F Hunting Helm,mhxx-dex-1.0+mhxx-save-format-community,2
7,毛皮猫兜帽,F Mafumofu Hood,mhxx-dex-1.0+mhxx-save-format-community,2
8,结云猫斗笠,F Yukumo Kasa,mhxx-dex-1.0+mhxx-save-format-community,2
9,变化猫帽,F Alta Hat,mhxx-dex-1.0+mhxx-save-format-community,2
10,硬甲龙猫头盔,F Rheno Helm,mhxx-dex-1.0+mhxx-save-format-community,2
11,飞甲虫猫帽,F Bnaha Cap,mhxx-dex-1.0+mhxx-save-format-community,2
12,跳狗龙猫头盔,F Maccao Helm,mhxx-dex-1.0+mhxx-save-format-community,2
13,蓝速龙猫头盔,F Velociprey Helm,mhxx-dex-1.0+mhxx-save-format-community,2
14,野猪王猫面具,F Bulldrome Mask,mhxx-dex-1.0+mhxx-save-format-community,2
15,青熊兽猫头盔,F Arzuros Helm,mhxx-dex-1.0+mhxx-save-format-community,2
16,黄速龙猫头盔,F Genprey Helm,mhxx-dex-1.0+mhxx-save-format-community,2
17,砂龙猫帽,F Cephalos Hat,mhxx-dex-1.0+mhxx-save-format-community,2
18,猫兽人的石头,F Stone Head,mhxx-dex-1.0+mhxx-save-format-community,2
19,毒蜂猫护头,F Venombee Cap,mhxx-dex-1.0+mhxx-save-format-community,2
20,美食家猫厨师帽,F Gourmet Toque,mhxx-dex-1.0+mhxx-save-format-community,2
21,云羊鹿猫头部,F Moofy Head,mhxx-dex-1.0+mhxx-save-format-community,2
22,草食龙猫面具,F Aptonoth Mask,mhxx-dex-1.0+mhxx-save-format-community,2
23,波波猫头部,F Popo Head,mhxx-dex-1.0+mhxx-save-format-community,2
24,丸鸟猫面具,F Gargwa Mask,mhxx-dex-1.0+mhxx-save-format-community,2
25,红速龙猫头盔,F Ioprey Helm,mhxx-dex-1.0+mhxx-save-format-community,2
26,白兔兽猫头盔,F Lagombi Helm,mhxx-dex-1.0+mhxx-save-format-community,2
27,怪鸟猫面具,F Kut-Ku Mask,mhxx-dex-1.0+mhxx-save-format-community,2
28,毒怪鸟猫覆盔,F Gypceros Crest,mhxx-dex-1.0+mhxx-save-format-community,2
29,鬼蛙猫大角,F Cabra Horn,mhxx-dex-1.0+mhxx-save-format-community,2
30,大名盾蟹猫面具,F Daimyo Mask,mhxx-dex-1.0+mhxx-save-format-community,2
31,水兽猫头盔,F Ludroth Helm,mhxx-dex-1.0+mhxx-save-format-community,2
32,白电猫帽,F Khezu Cap,mhxx-dex-1.0+mhxx-save-format-community,2
33,潜口龙猫头盔,F Nibel Helm,mhxx-dex-1.0+mhxx-save-format-community,2
34,贤者猫帽,F Scholarly Cap,mhxx-dex-1.0+mhxx-save-format-community,2
35,勇气猫军盔,F Derring Galea,mhxx-dex-1.0+mhxx-save-format-community,2
36,雪绒花双猫尾,F Edel Pigtails,mhxx-dex-1.0+mhxx-save-format-community,2
37,克鲁茵猫兜帽,F Kittendant Hood,mhxx-dex-1.0+mhxx-save-format-community,2
38,南瓜猫帽,F Mosgharl Hat,mhxx-dex-1.0+mhxx-save-format-community,2
39,首鸣龙猫面具,F Larinoth Mask,mhxx-dex-1.0+mhxx-save-format-community,2
40,死神猫兜帽,F Death Stench Hood,mhxx-dex-1.0+mhxx-save-format-community,2
41,武者猫头盔,F Marauder Helm,mhxx-dex-1.0+mhxx-save-format-community,2
42,赤甲兽猫头盔,F Volvi Helm,mhxx-dex-1.0+mhxx-save-format-community,2
43,夜鸟猫面具,F Malfestio Mask,mhxx-dex-1.0+mhxx-save-format-community,2
44,雌火龙猫头盔,F Rathian Helm,mhxx-dex-1.0+mhxx-save-format-community,2
45,雪狮子猫面具,F Blango Mask,mhxx-dex-1.0+mhxx-save-format-community,2
46,将军镰蟹猫面具,F Ceanataur Mask,mhxx-dex-1.0+mhxx-save-format-community,2
47,绞蛇龙猫头巾,F Naja Turban,mhxx-dex-1.0+mhxx-save-format-community,2
48,迅龙猫头盔,F Narga Helm,mhxx-dex-1.0+mhxx-save-format-community,2
49,女仆猫兜帽,F Maiden Hood,mhxx-dex-1.0+mhxx-save-format-community,3
50,支援者猫兜帽,F Helper Hood,mhxx-dex-1.0+mhxx-save-format-community,3
51,喵和抚子【布冠】,F Pretty Toque,mhxx-dex-1.0+mhxx-save-format-community,3
52,混沌的阿尔,F Chaos Bulbs,mhxx-dex-1.0+mhxx-save-format-community,3
53,黄金乡猫头盔,F El Dora Helm,mhxx-dex-1.0+mhxx-save-format-community,3
54,机械猫核心,F Artian Core,mhxx-dex-1.0+mhxx-save-format-community,3
55,黑狼鸟猫头巾,F Garuga Hood,mhxx-dex-1.0+mhxx-save-format-community,3
56,爆锤龙猫头盔,F Uragaan Helm,mhxx-dex-1.0+mhxx-save-format-community,3
57,火龙猫头盔,F Rathalos Helm,mhxx-dex-1.0+mhxx-save-format-community,3
58,海龙猫海盗帽,F Lagia Tricorne,mhxx-dex-1.0+mhxx-save-format-community,3
59,电龙猫面具,F Astalos Mask,mhxx-dex-1.0+mhxx-save-format-community,3
60,巨兽猫衣领,F Gammoth Collar,mhxx-dex-1.0+mhxx-save-format-community,3
61,泡狐龙猫斗笠,F Mizutsune Kasa,mhxx-dex-1.0+mhxx-save-format-community,3
62,公会猫宽帽,F Guild Headgear,mhxx-dex-1.0+mhxx-save-format-community,3
63,斩龙猫头盔,F Glavenus Helm,mhxx-dex-1.0+mhxx-save-format-community,3
64,雷狼龙猫头盔,F Zinogre Helm,mhxx-dex-1.0+mhxx-save-format-community,3
65,黑蚀龙猫恐怖,F Gore Horror,mhxx-dex-1.0+mhxx-save-format-community,3
66,千刃龙猫硬盔,F Seregios Helm,mhxx-dex-1.0+mhxx-save-format-community,3
67,轰龙猫头盔,F Tigrex Helm,mhxx-dex-1.0+mhxx-save-format-community,3
68,麒麟猫角,F Kirin Horn,mhxx-dex-1.0+mhxx-save-format-community,3
69,碎龙猫拳击护头,F Brachy Headgear,mhxx-dex-1.0+mhxx-save-format-community,3
70,天廻龙猫光圈,F Angel Halo,mhxx-dex-1.0+mhxx-save-format-community,3
71,钢龙猫强力,F Kushala Glare,mhxx-dex-1.0+mhxx-save-format-community,3
72,魔神猫帽,F Genie Helm,mhxx-dex-1.0+mhxx-save-format-community,3
73,帝王猫假发,F Kaiser Periwig,mhxx-dex-1.0+mhxx-save-format-community,3
74,骸装甲猫面具,F Husk Mask,mhxx-dex-1.0+mhxx-save-format-community,3
75,橡子S猫头盔,F Acorn Helm S,mhxx-dex-1.0+mhxx-save-format-community,4
76,贝鲁纳S猫兜帽,F Bherna Hood S,mhxx-dex-1.0+mhxx-save-format-community,4
77,狩猎S猫头盔,F Hunting Helm S,mhxx-dex-1.0+mhxx-save-format-community,4
78,毛皮S猫兜帽,F Mafumofu Hood S,mhxx-dex-1.0+mhxx-save-format-community,4
79,结云S猫斗笠,F Yukumo Kasa S,mhxx-dex-1.0+mhxx-save-format-community,4
80,美食家S猫厨师帽,F Gourmet Toque S,mhxx-dex-1.0+mhxx-save-format-community,4
81,云羊鹿S猫头部,F Moofy Head S,mhxx-dex-1.0+mhxx-save-format-community,4
82,草食龙S猫面具,F Aptonoth Mask S,mhxx-dex-1.0+mhxx-save-format-community,4
83,波波S猫头部,F Popo Head S,mhxx-dex-1.0+mhxx-save-format-community,4
